"","","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"South-East Asia"," 1995","10.93 [10.55-11.28]","10.51 [9.82-10.94]","11.37 [10.66-11.84]","380 832 [367 409-393 091]","189 384 [176 851-197 145]","191 448 [179 373-199 422]"
"South-East Asia"," 1994","11.36 [10.95-11.73]","10.94 [10.2-11.39]","11.8 [11.05-12.29]","393 247 [379 200-406 239]","195 831 [182 515-203 807]","197 416 [184 690-205 572]"
"South-East Asia"," 1993","11.79 [11.36-12.18]","11.37 [10.59-11.83]","12.23 [11.43-12.74]","404 884 [390 050-418 515]","201 870 [188 023-210 059]","203 014 [189 563-211 442]"
"South-East Asia"," 1992","12.23 [11.78-12.66]","11.82 [11-12.32]","12.68 [11.83-13.21]","416 173 [400 604-430 641]","207 782 [193 286-216 631]","208 391 [194 429-217 190]"
"South-East Asia"," 1991","13.63 [13.13-14.09]","13.2 [12.33-13.73]","14.09 [13.18-14.66]","458 665 [441 838-474 178]","229 577 [214 346-238 927]","229 088 [214 296-238 440]"
"South-East Asia"," 1990","13.17 [12.63-13.65]","12.74 [11.82-13.3]","13.62 [12.68-14.21]","437 138 [419 253-453 316]","218 674 [202 715-228 320]","218 464 [203 378-227 979]"
"Europe"," 2021","0.65 [0.65-0.66]","0.74 [0.73-0.75]","0.56 [0.55-0.58]","7 579 [7 492-7 665]","4 405 [4 330-4 480]","3 174 [3 110-3 241]"
"Europe"," 2020","0.68 [0.68-0.69]","0.77 [0.76-0.78]","0.59 [0.58-0.6]","7 865 [7 793-7 934]","4 578 [4 510-4 641]","3 287 [3 231-3 348]"
"Europe"," 2019","0.71 [0.71-0.72]","0.81 [0.8-0.82]","0.61 [0.6-0.62]","8 148 [8 091-8 217]","4 748 [4 690-4 810]","3 400 [3 351-3 459]"
"Europe"," 2018","0.74 [0.74-0.75]","0.84 [0.83-0.85]","0.64 [0.63-0.65]","8 465 [8 408-8 522]","4 927 [4 869-4 982]","3 538 [3 489-3 592]"
