"","","Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years"
"WHO region","Year"," Both sexes"," Both sexes"," Male"," Female"
"Europe"," 2016","0.88 [0.87-0.89]","9 167 [9 047-9 295]","5 513 [5 430-5 605]","3 654 [3 587-3 722]"
"Europe"," 2015","0.91 [0.89-0.92]","9 355 [9 229-9 486]","5 635 [5 548-5 729]","3 720 [3 653-3 789]"
"Europe"," 2014","0.93 [0.92-0.95]","9 593 [9 460-9 725]","5 807 [5 713-5 896]","3 786 [3 721-3 858]"
"Europe"," 2013","0.96 [0.95-0.97]","9 891 [9 762-10 033]","5 979 [5 889-6 078]","3 912 [3 846-3 985]"
"Europe"," 2012","0.99 [0.98-1.01]","10 289 [10 148-10 432]","6 207 [6 108-6 303]","4 082 [4 012-4 158]"
"Europe"," 2011","1.03 [1.02-1.05]","10 774 [10 617-10 929]","6 464 [6 355-6 566]","4 310 [4 232-4 389]"
"Europe"," 2010","1.07 [1.06-1.09]","11 320 [11 147-11 507]","6 771 [6 656-6 893]","4 549 [4 463-4 640]"
"Europe"," 2009","1.12 [1.1-1.14]","11 951 [11 727-12 186]","7 151 [7 007-7 301]","4 800 [4 693-4 909]"
"Europe"," 2008","1.16 [1.14-1.19]","12 630 [12 331-12 941]","7 603 [7 413-7 801]","5 027 [4 888-5 170]"
"Europe"," 2007","1.21 [1.18-1.25]","13 372 [12 974-13 788]","8 092 [7 846-8 352]","5 280 [5 101-5 469]"
"Europe"," 2006","1.26 [1.22-1.3]","14 212 [13 696-14 757]","8 638 [8 323-8 961]","5 574 [5 353-5 816]"
"Europe"," 2005","1.31 [1.26-1.37]","15 166 [14 523-15 848]","9 263 [8 874-9 670]","5 903 [5 624-6 203]"
"Europe"," 2004","1.37 [1.31-1.43]","16 209 [15 439-17 053]","9 941 [9 479-10 443]","6 268 [5 941-6 637]"
"Europe"," 2003","1.43 [1.36-1.5]","17 353 [16 446-18 359]","10 677 [10 132-11 269]","6 676 [6 295-7 104]"
"Europe"," 2002","1.49 [1.41-1.57]","18 528 [17 480-19 698]","11 431 [10 800-12 133]","7 097 [6 662-7 591]"
"Europe"," 2001","1.54 [1.45-1.64]","19 596 [18 408-20 928]","12 134 [11 423-12 937]","7 462 [6 974-8 023]"
"Europe"," 2000","1.58 [1.48-1.69]","20 415 [19 118-21 884]","12 681 [11 895-13 567]","7 734 [7 200-8 345]"
"Europe"," 1999","1.72 [1.59-1.87]","22 478 [20 671-24 540]","13 711 [12 662-14 886]","8 767 [7 983-9 676]"
"Europe"," 1998","1.63 [1.51-1.76]","21 382 [19 877-23 113]","13 277 [12 370-14 329]","8 105 [7 497-8 823]"
"Europe"," 1997","1.65 [1.53-1.79]","21 683 [20 104-23 552]","13 524 [12 553-14 663]","8 159 [7 525-8 915]"
"Europe"," 1996","1.68 [1.55-1.83]","21 958 [20 286-23 939]","13 647 [12 622-14 860]","8 311 [7 637-9 108]"
"Europe"," 1995","1.7 [1.57-1.86]","22 192 [20 429-24 303]","13 830 [12 754-15 129]","8 362 [7 659-9 210]"
"Europe"," 1994","1.74 [1.59-1.9]","22 324 [20 481-24 552]","13 971 [12 840-15 344]","8 353 [7 623-9 228]"
"Europe"," 1993","1.76 [1.61-1.93]","22 776 [20 857-25 106]","14 286 [13 101-15 707]","8 490 [7 732-9 409]"
"Europe"," 1992","1.77 [1.61-1.95]","22 740 [20 764-25 157]","14 302 [13 086-15 780]","8 438 [7 672-9 400]"
"Europe"," 1991","1.74 [1.57-1.93]","22 058 [20 005-24 531]","13 958 [12 701-15 486]","8 100 [7 317-9 075]"
"Europe"," 1990","1.72 [1.55-1.92]","21 858 [19 763-24 415]","13 843 [12 552-15 432]","8 015 [7 216-9 015]"
"Eastern Mediterranean"," 2021","","42 763 [28 722-72 591]","24 579 [16 804-41 076]","18 184 [11 754-31 511]"
